work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,job_type,company_location,company_size,conversion_rates,foreign_employee
2023,Entry_level,Full-time,Compliance Data Analyst,30000,USD,30000,NGA,Remote,NGA,Large,1.0,NO
2022,Mid_level,Full-time,Machine Learning Engineer,1650000,INR,20984,IND,Hybrid,IND,Large,78.63133816240945,NO
2023,Entry_level,Full-time,Applied Scientist,204620,USD,204620,USA,On-Site,USA,Large,1.0,NO
2023,Entry_level,Full-time,Applied Scientist,110680,USD,110680,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Data Engineer,270703,USD,270703,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,221484,USD,221484,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,212750,USD,212750,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,185000,USD,185000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,262000,USD,262000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,245000,USD,245000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,275300,USD,275300,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,183500,USD,183500,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,218500,USD,218500,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,199098,USD,199098,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,203300,USD,203300,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,123600,USD,123600,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Research Engineer,189110,USD,189110,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Research Engineer,139000,USD,139000,USA,On-Site,USA,Medium,1.0,NO
2023,Executive_level,Full-time,Data Scientist,258750,USD,258750,USA,On-Site,USA,Medium,1.0,NO
2023,Executive_level,Full-time,Data Scientist,185000,USD,185000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,231500,USD,231500,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,166000,USD,166000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,172500,USD,172500,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,110500,USD,110500,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,238000,USD,238000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,176000,USD,176000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,237000,USD,237000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,201450,USD,201450,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Applied Scientist,309400,USD,309400,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Applied Scientist,159100,USD,159100,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Data Engineer,115000,USD,115000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,81500,USD,81500,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,237000,USD,237000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,201450,USD,201450,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Computer Vision Engineer,280000,USD,280000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Computer Vision Engineer,210000,USD,210000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Architect,280100,USD,280100,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Architect,168100,USD,168100,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,193500,USD,193500,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,139000,USD,139000,USA,Remote,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Scientist,510000,HKD,65062,HKG,On-Site,HKG,Large,7.838676954289754,NO
2023,Senior_level,Full-time,Machine Learning Engineer,150000,USD,150000,PRT,Remote,USA,Medium,1.0,YES
2023,Mid_level,Full-time,Applied Machine Learning Engineer,65000,EUR,69751,IND,Remote,DEU,Small,0.9318862812002695,YES
2022,Entry_level,Full-time,AI Developer,300000,USD,300000,IND,Hybrid,IND,Large,1.0,NO
2023,Mid_level,Full-time,Machine Learning Engineer,90000,EUR,96578,NLD,Remote,NLD,Large,0.9318892501397834,NO
2023,Senior_level,Full-time,Business Intelligence Engineer,185900,USD,185900,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Business Intelligence Engineer,129300,USD,129300,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,225000,USD,225000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,175000,USD,175000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,185000,USD,185000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,140000,USD,140000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,45000,EUR,48289,ESP,On-Site,ESP,Medium,0.9318892501397834,NO
2023,Senior_level,Full-time,Data Scientist,36000,EUR,38631,ESP,On-Site,ESP,Medium,0.9318940747068416,NO
2023,Senior_level,Full-time,Data Scientist,105000,USD,105000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,70000,USD,70000,USA,On-Site,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Machine Learning Engineer,163196,USD,163196,USA,On-Site,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Machine Learning Engineer,145885,USD,145885,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,217000,USD,217000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,185000,USD,185000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,202800,USD,202800,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Data Analyst,104300,USD,104300,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Data Analyst,145000,USD,145000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,65000,USD,65000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,165000,USD,165000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,132300,USD,132300,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,179170,USD,179170,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,94300,USD,94300,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,152500,USD,152500,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,116450,USD,116450,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,247300,USD,247300,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,133800,USD,133800,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Research Engineer,203000,USD,203000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Research Engineer,133000,USD,133000,USA,On-Site,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Research Scientist,220000,USD,220000,USA,Hybrid,USA,Large,1.0,NO
2022,Entry_level,Full-time,Machine Learning Engineer,54000,CHF,56536,CHE,Remote,CHE,Small,0.9551436253006934,NO
2023,Senior_level,Full-time,Data Scientist,150000,USD,150000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,120000,USD,120000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,289800,USD,289800,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,214000,USD,214000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,179820,USD,179820,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,143860,USD,143860,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,283200,USD,283200,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,188800,USD,188800,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,289800,USD,289800,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,214200,USD,214200,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,185900,USD,185900,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,129300,USD,129300,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,252000,USD,252000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,129000,USD,129000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Analytics Manager,155000,USD,155000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Analytics Manager,140000,USD,140000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,161800,USD,161800,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,141600,USD,141600,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,342300,USD,342300,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,176100,USD,176100,USA,On-Site,USA,Large,1.0,NO
2023,Mid_level,Full-time,Data Engineer,100000,USD,100000,USA,Remote,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Engineer,70000,USD,70000,USA,Remote,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Data Engineer,85000,USD,85000,USA,On-Site,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Data Engineer,65000,USD,65000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,138784,USD,138784,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,83270,USD,83270,USA,Remote,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Data Analyst,75000,USD,75000,USA,On-Site,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Data Analyst,70000,USD,70000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,204500,USD,204500,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,138900,USD,138900,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,318300,USD,318300,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,212200,USD,212200,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,95000,USD,95000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,75000,USD,75000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,195000,USD,195000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,160000,USD,160000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,230000,USD,230000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,143200,USD,143200,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Engineer,100000,USD,100000,USA,Remote,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Engineer,70000,USD,70000,USA,Remote,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Business Data Analyst,105000,USD,105000,USA,Hybrid,USA,Large,1.0,NO
2023,Mid_level,Full-time,Applied Data Scientist,1700000,INR,20670,IND,Remote,IND,Large,82.2447992259313,NO
2023,Mid_level,Full-time,Data Analyst,38000,GBP,46178,GBR,On-Site,GBR,Medium,0.8229026809303132,NO
2023,Mid_level,Full-time,Data Analyst,35000,GBP,42533,GBR,On-Site,GBR,Medium,0.8228904615239931,NO
2023,Senior_level,Full-time,Data Engineer,145000,USD,145000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,115000,USD,115000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,168400,USD,168400,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,105200,USD,105200,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Applied Scientist,309400,USD,309400,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Applied Scientist,159100,USD,159100,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,190000,USD,190000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,150000,USD,150000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Engineer,162500,USD,162500,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Engineer,130000,USD,130000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,150000,USD,150000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,120000,USD,120000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,145000,USD,145000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,120000,USD,120000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Applied Scientist,222200,USD,222200,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Applied Scientist,136000,USD,136000,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Data Analyst,45000,GBP,54685,CAF,Remote,CAF,Medium,0.8228947609033556,NO
2023,Senior_level,Full-time,Data Analyst,35000,GBP,42533,CAF,Remote,CAF,Medium,0.8228904615239931,NO
2023,Senior_level,Full-time,Data Engineer,241000,USD,241000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,155000,USD,155000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,220000,USD,220000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,190000,USD,190000,USA,Remote,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Scientist,55000,GBP,66837,GBR,On-Site,GBR,Medium,0.8228974968954321,NO
2023,Mid_level,Full-time,Data Scientist,45000,GBP,54685,GBR,On-Site,GBR,Medium,0.8228947609033556,NO
2020,Executive_level,Full-time,Staff Data Analyst,15000,USD,15000,NGA,On-Site,CAN,Medium,1.0,YES
2023,Mid_level,Full-time,ETL Engineer,70000,GBP,85066,GBR,Remote,GBR,Medium,0.8228904615239931,NO
2023,Mid_level,Full-time,ETL Engineer,47500,GBP,57723,GBR,Remote,GBR,Medium,0.8228955528991909,NO
2023,Entry_level,Full-time,Data Analyst,85000,USD,85000,USA,Remote,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Data Analyst,75000,USD,75000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,160000,USD,160000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,140000,USD,140000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Machine Learning Engineer,300000,USD,300000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Machine Learning Engineer,250000,USD,250000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,228000,USD,228000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,186000,USD,186000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,190000,USD,190000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,170000,USD,170000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Research Engineer,230000,USD,230000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Research Engineer,200000,USD,200000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Architect,180000,USD,180000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Architect,115000,USD,115000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Architect,200000,USD,200000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Architect,115000,USD,115000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data DevOps Engineer,50000,EUR,53654,FRA,Hybrid,FRA,Small,0.9318969694710553,NO
2023,Executive_level,Full-time,Data Engineer,220000,USD,220000,USA,On-Site,USA,Medium,1.0,NO
2023,Executive_level,Full-time,Data Engineer,205000,USD,205000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Engineer,180000,USD,180000,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,Data Engineer,130000,USD,130000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,200000,USD,200000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,150000,USD,150000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Computer Vision Engineer,215000,USD,215000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Computer Vision Engineer,170000,USD,170000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,247500,USD,247500,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Machine Learning Engineer,172200,USD,172200,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,224000,USD,224000,CAN,On-Site,CAN,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,176000,USD,176000,CAN,On-Site,CAN,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,120000,USD,120000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,75000,USD,75000,USA,Remote,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Data Engineer,1400000,INR,17022,IND,Remote,IND,Large,82.24650452355775,NO
2023,Senior_level,Full-time,Applied Data Scientist,100000,AUD,68318,AUS,Remote,FIN,Medium,1.463743083813929,YES
2023,Mid_level,Full-time,AI Developer,100000,SGD,75020,FIN,On-Site,FIN,Medium,1.3329778725673154,NO
2023,Senior_level,Full-time,Data Analyst,140000,USD,140000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,120000,USD,120000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,128000,USD,128000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,81500,USD,81500,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,145000,USD,145000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,115000,USD,115000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,185000,USD,185000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,140000,USD,140000,USA,On-Site,USA,Medium,1.0,NO
2023,Executive_level,Full-time,Head of Data,329500,USD,329500,USA,On-Site,USA,Medium,1.0,NO
2023,Executive_level,Full-time,Head of Data,269600,USD,269600,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Quality Analyst,100000,USD,100000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Quality Analyst,80000,USD,80000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,250000,USD,250000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,162500,USD,162500,USA,On-Site,USA,Medium,1.0,NO
2023,Mid_level,Full-time,AI Developer,200000,USD,200000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,145000,USD,145000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,100000,USD,100000,USA,On-Site,USA,Medium,1.0,NO
2023,Executive_level,Full-time,Data Engineer,145000,USD,145000,USA,On-Site,USA,Medium,1.0,NO
2023,Executive_level,Full-time,Data Engineer,115000,USD,115000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,203500,USD,203500,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,152000,USD,152000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,239000,USD,239000,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Data Scientist,122900,USD,122900,USA,On-Site,USA,Large,1.0,NO
2023,Senior_level,Full-time,Data Scientist,237000,USD,237000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,145000,USD,145000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Science Manager,191765,USD,191765,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Science Manager,134236,USD,134236,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,190000,USD,190000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Analytics Engineer,112000,USD,112000,USA,Remote,USA,Medium,1.0,NO
2022,Senior_level,Full-time,Data Scientist,84000,EUR,88256,ESP,Remote,GBR,Large,0.9517766497461929,YES
2023,Entry_level,Full-time,Data Engineer,85000,USD,85000,USA,On-Site,USA,Medium,1.0,NO
2023,Entry_level,Full-time,Data Engineer,65000,USD,65000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,135000,USD,135000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,105500,USD,105500,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Research Engineer,293000,USD,293000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Research Engineer,185000,USD,185000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,80000,USD,80000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Analyst,70000,USD,70000,USA,On-Site,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,220000,USD,220000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Engineer,160000,USD,160000,USA,Remote,USA,Medium,1.0,NO
2023,Senior_level,Full-time,Data Scientist,175000,USD,175000,USA,Remote,USA,Medium,1.0,NO
